Retailer,P_Code,Item Number,Links,Total Reviews,Avg Rating
Target,CW080A,FH15000V,https://www.target.com/p/hoover-cleanslate-xl-deep-cleaning-spot-steam-cleaner/-/A-92763132#lnk=sametab,,
Target,SV054A,BD57000V,https://www.target.com/p/dirt-devil-standing-cordless-stick-vacuum-red-black-bd57000v/-/A-92585107#lnk=sametab,,
Target,UP098A,UD76400V,https://www.target.com/p/dirt-devil-multi-surface-pet-upright-vacuum-cleaner/-/A-94651865#lnk=sametab,,
Target,HV029A,BH57400V,https://www.target.com/p/hoover-onepwr-cordless-handheld-vacuum-gray-red-bh57400v/-/A-92585109#lnk=sametab,,
Target,CW018A,FH50150,https://www.target.com/p/hoover-powerscrub-deluxe/-/A-94651864#lnk=sametab,,
Target,CW084A,FD13000,https://www.target.com/p/dirt-devil-compact-spot-cleaner-fd13000/-/A-88036592#lnk=sametab,,
Target,SV047A,BH53605V,https://www.target.com/p/hoover-onepwr-emerge-cordless-stick-vacuum-bh53605v/-/A-89264199#lnk=sametab,,
Target,UP114A,UH77400V,https://www.target.com/p/hoover-pet-rewind-upright-vacuum/-/A-94371673#lnk=sametab,,
Target,CW065A,FH50704,https://www.target.com/p/hoover-powerdash-pet-compact-carpet-cleaner-fh50704/-/A-88473624#lnk=sametab,,
Target,CW063A,FH55000,https://www.target.com/p/hoover-powerdash-advanced-compact-carpet-cleaner-machine-with-above-floor-cleaning-fh55000/-/A-85269285#lnk=sametab,,
Target,V8,V8,https://www.target.com/p/dyson-v8-origin-cordless-stick-vacuum/-/A-85269288,,
Target,CW059A,FH14000,https://www.target.com/p/hoover-cleanslate-portable-carpet-and-upholstery-spot-cleaner-fh14000/-/A-83469097#lnk=sametab,,
Target,CW045A,FH52000,https://www.target.com/p/hoover-smartwash-automatic-carpet-cleaner-machine-and-upright-shampooer-fh52000/-/A-53741664#lnk=sametab,,
Target,UP112A,UH77300V,https://www.target.com/p/hoover-windtunnel-pet-upright-vacuum/-/A-94371654?utm_source=chatgpt.com,,
Target,,UD76800V,https://www.target.com/p/dirt-devil-multi-surface-rewind-upright-vacuum-red-black-ud76800v/-/A-92585108?utm_source=chatgpt.com,,
Target,,4064,https://www.target.com/p/bissell-little-green-mini-corded-carpet-cleaner/-/A-94243193#lnk=sametab,,
