Retailer,P_Code,Item Number,Links,Total Reviews,Avg Rating
Walmart,UP017A,UH71310V,https://www.walmart.com/ip/Hoover-UH71310V-WindTunnel-Elite-Rewind-Upright-Corded-Vacuum/13234250936?classType=REGULAR&from=/search,,
Walmart,CW065A,FH50704V,https://www.walmart.ca/en/ip/Hoover-PowerDash-Pet-Compact-Carpet-Cleaner-Machine-Storage-Mat-Lightweight-Powerful-Pet-Stain-Remover-Deodorizer-Shampooer-FH50704V-White/4Q6KEXARC01G,,
Walmart,UP097A,UD76300V,https://www.walmart.ca/en/ip/dirt-devil-multi-surface-extended-reach-upright-vacuum-black/6000206930582,,
Walmart,CW052A,FH53040DI,https://www.walmart.ca/en/ip/Manufacturer-Refurbished-Hoover-FH53040DI-SmartWash-SpotChaser-Pet-Complete-Automatic-Carpet-Cleaner/1AO8OUU4YUE3,,
Walmart,SV047A,BH53643VDE,https://www.walmart.ca/en/ip/Manufacturer-Refurbished-Hoover-BH53643VDE-ONEPWR-Emerge-Pet-Cordless-Stick-Vacuum-Kit-with-2-Batteries/3IXH3QD2WCDX,,
Walmart,SV050A,BH53840VCD,https://www.walmart.ca/en/ip/Manufacturer-Refurbished-Hoover-BH53840VCD-ONEPWR-Evolve-Pet-Elite-Cordless-Vacuum/2LHSPOVPC7U9,,
Walmart,BC025,BH19020V,https://www.walmart.com/ip/Hoover-Residential-Vacuum-Onepwr-2-0Ah-Lithium-Ion-Battery-V/5078017229,,
Walmart,HV033A,BD40200V,https://www.walmart.com/ip/Dirt-Devil-12-V-Cordless-Handheld-Vacuum-Cleaner-Portable/2116345357,,
Walmart,TBD,IZ382H,https://www.walmart.com/ip/Shark-PowerPro-Flex-Reveal-Cordless-Vacuum-FloorDetect-Dirt-Reveal-Technology-HEPA-Filter-Carpet-Hard-Floor-Rechargeable-IZ382H/15556856775?wmlspartner=wlpa&selectedSellerId=101580224&selectedOfferId=32AC1168D8A03FA4A850B5AF050ABD78&conditionGroupCode=1,,
Walmart,BC025,BH29280V,https://www.walmart.com/ip/Hoover-ONEPWR-8Ah-Battery/5248648329,,
Walmart,CW065A,FH50751,https://www.walmart.com/ip/Hoover-FH50751-PowerDash-Pet-1-5-Compact-Carpet-Cleaner-Lightweight-White/1188526499,,
Walmart,UP096A,UD76200V,https://www.walmart.com/ip/Dirt-Devil-Multi-Surface-Upright-Lightweight-Bagless-Vacuum-Ud76200V/16726211497,,
Walmart,CW059A,FH14050,https://www.walmart.com/ip/Hoover-CleanSlate-Plus-Carpet-Upholstery-Spot-Cleaner-Stain-Remover-Portable-FH14050-White/803534615,,
Walmart,BC025,BH29040V,https://www.walmart.com/ip/Hoover-ONEPWR-4Ah-Battery-BH29040V/2248209012,,
Walmart,CW084A,FD13000,https://www.walmart.com/ip/Dirt-Devil-Portable-Carpet-And-Upholstery-Spot-Cleaner/2460957287?classType=REGULAR&from=/search,,
Walmart,SV047A,BH53603VE,https://www.walmart.com/ip/ONEPWR-Emerge-Pet-with-All-Terrain-Dual-Brush-Roll-Nozzle-Two-Battery-Kit-New-BH53603VE/3693530344,,
Walmart,"CW036",FH11300,https://www.walmart.com/ip/Hoover-Spotless-Carpet-Cleaner-with-Dual-Tank-Technology/2650897655,,
Walmart,UP098A,UD76400V,https://www.walmart.com/ip/Dirt-Devil-Multi-surface-Total-Pet-Upright-Bagless-Lightweight-Vacuum-Cleaner-Black-Red-UD76400V/16680022483?classType=REGULAR&from=/search,,
Walmart,CW052A,FH53000,https://www.walmart.com/ip/Hoover-SmartWash-Pet-Complete-Automatic-Carpet-Cleaner-FH53000/836277545,,
